| Raza                           | Altura (cm) | Peso (kg) | Inteligencia (%) | Coste total (€) | Vida promedio (años) | Nº Enfermedades graves | Coste anual promedio (€) | Hogar                 | Trucos | Actividad física del dueño | Distrito                |
| Caniche | 41.2        | 24.8      | 100               | 15890            | 11.97                 | 2                       | 1331                     | Jardín Amplio       | Sí     | Poco frecuente               | Moratalaz             |
| Caniche | 41.4        | 25.2      | 99                | 15905            | 11.96                 | 1                       | 1329                     | Apartamento pequeño | No     | Muy frecuente                | Latina                |
| Caniche | 41.1        | 24.7      | 100               | 15885            | 11.98                 | 2                       | 1332                     | Jardín Amplio       | Sí     | Frecuente                    | Usera                 |
| Caniche | 41.6        | 25.8      | 98                | 15920            | 11.93                 | 1                       | 1327                     | Apartamento mediano | Sí     | Poco frecuente               | Villa de Vallecas     |
| Caniche | 41.3        | 25.4      | 99                | 15902            | 11.95                 | 2                       | 1333                     | Finca               | No     | Nada                        | Ciudad Lineal          |
| Caniche | 40.8        | 25.9      | 98                | 15878            | 11.99                 | 1                       | 1334                     | Jardín Amplio       | No     | Nada                        | Retiro                |
| Caniche | 41.9        | 24.5      | 101               | 15930            | 11.92                 | 2                       | 1326                     | Apartamento pequeño | Sí     | Muy frecuente                | Centro                |
| Caniche | 41.7        | 25.6      | 98                | 15915            | 11.94                 | 1                       | 1335                     | Jardín Amplio       | No     | Frecuente                    | Salamanca             |
| Braco Alemán de pelo corto  | 61          | 28        | 84                | 18032            | 11.46                 | 1                       | 1573                     | Jardín Amplio       | Sí     | Nada                        | Chamartín              |
| Braco Alemán de pelo corto  | 60.5        | 28.5      | 83                | 18045            | 11.45                 | 2                       | 1569                     | Apartamento mediano | No     | Frecuente                    | Puente de Vallecas     |
| Braco Alemán de pelo corto  | 61.2        | 27.8      | 85                | 18025            | 11.48                 | 1                       | 1574                     | Jardín Amplio       | Sí     | Poco frecuente               | Moratalaz             |
| Braco Alemán de pelo corto  | 61.4        | 28.2      | 84                | 18040            | 11.47                 | 2                       | 1572                     | Apartamento pequeño | No     | Muy frecuente                | Latina                |
| Braco Alemán de pelo corto  | 61.1        | 27.7      | 85                | 18020            | 11.49                 | 1                       | 1575                     | Jardín Amplio       | Sí     | Frecuente                    | Usera                 |
| Braco Alemán de pelo corto  | 61.6        | 28.8      | 83                | 18055            | 11.44                 | 2                       | 1568                     | Apartamento mediano | Sí     | Poco frecuente               | Villa de Vallecas     |
| Braco Alemán de pelo corto  | 61.3        | 28.4      | 84                | 18032            | 11.46                 | 1                       | 1573                     | Finca               | No     | Nada                        | Ciudad Lineal          |
| Braco Alemán de pelo corto  | 60.8        | 28.9      | 83                | 18008            | 11.50                 | 2                       | 1577                     | Jardín Amplio       | No     | Nada                        | Retiro                |
| Braco Alemán de pelo corto  | 61.9        | 27.5      | 86                | 18065            | 11.43                 | 1                       | 1567                     | Apartamento pequeño | Sí     | Muy frecuente                | Centro                |
| Braco Alemán de pelo corto  | 61.7        | 28.6      | 83                | 18050            | 11.45                 | 2                       | 1570                     | Jardín Amplio       | No     | Frecuente                    | Salamanca             |
| Labrador Retriever | 58          | 31        | 93                | 15933            | 12.04                 | 3                       | 1323                     | Jardín Amplio       | Sí     | Nada                        | Chamartín              |
| Labrador Retriever | 57.5        | 31.5      | 92                | 15945            | 12.03                 | 4                       | 1319                     | Apartamento mediano | No     | Frecuente                    | Puente de Vallecas     |
| Labrador Retriever | 58.2        | 30.8      | 94                | 15925            | 12.06                 | 3                       | 1324                     | Jardín Amplio       | Sí     | Poco frecuente               | Moratalaz             |
| Labrador Retriever | 58.4        | 31.2      | 93                | 15940            | 12.05                 | 4                       | 1322                     | Apartamento pequeño | No     | Muy frecuente                | Latina                |
| Labrador Retriever | 58.1        | 30.7      | 94                | 15920            | 12.07                 | 3                       | 1325                     | Jardín Amplio       | Sí     | Frecuente                    | Usera                 |
| Labrador Retriever | 58.6        | 31.8      | 92                | 15955            | 12.02                 | 4                       | 1318                     | Apartamento mediano | Sí     | Poco frecuente               | Villa de Vallecas     |
| Labrador Retriever | 58.3        | 31.4      | 93                | 15932            | 12.04                 | 3                       | 1323                     | Finca               | No     | Nada                        | Ciudad Lineal          |
| Labrador Retriever | 57.8        | 31.9      | 92                | 15908            | 12.08                 | 4                       | 1327                     | Jardín Amplio       | No     | Nada                        | Retiro                |
| Labrador Retriever | 58.9        | 30.5      | 95                | 15965            | 12.01                 | 3                       | 1317                     | Apartamento pequeño | Sí     | Muy frecuente                | Centro                |
| Labrador Retriever | 58.7        | 31.6      | 92                | 15950            | 12.03                 | 4                       | 1320                     | Jardín Amplio       | No     | Frecuente                    | Salamanca             |
