Dog breed,lifetime_cost,intellingence_ranking,longevity,weight_kg,shoulder_height_cm,obey_first_command_%_of_time,Renta media/pers (€),Áreas caninas (m²),n_genetic_diseases,tricks_yes,size_category_enc,intelligence_category_enc,house_type_enc,owners_physical_activity_enc
Brittany,22585.07472171772,74.75585559157781,13.151631035213384,15.864004499946136,50.78601563564535,70,25275.0,826.0,0,0.0,1.0,4.0,1.0,3.0
Brittany,23731.49649972179,77.95069353510021,12.706832581618617,16.004954030079666,44.65609616644864,85,24659.0,2606.0,0,0.0,1.0,4.0,3.0,1.0
Brittany,22401.83529707716,81.67446880951448,12.76230778984326,16.745776310769383,47.769378166128426,30,17026.0,1246.0,0,0.0,1.0,3.0,2.0,2.0
Brittany,23515.338604137352,77.35042291446187,13.59310279795348,15.646263297655578,47.30009993566768,85,25956.0,623.0,0,0.0,1.0,4.0,1.0,2.0
Brittany,22601.43415726893,80.60364888540805,13.03014717909203,16.16776748642812,47.41565393935414,95,19199.0,326.0,0,1.0,1.0,2.0,1.0,1.0
Brittany,22519.841281526522,78.7463882168555,12.9946792407377,15.360306727148632,47.65694000981484,70,19199.0,326.0,0,0.0,1.0,4.0,1.0,3.0
Brittany,23240.78022315019,83.84638061630778,12.77435066319896,16.1515931300557,48.80969725212819,50,19199.0,326.0,0,0.0,1.0,4.0,2.0,3.0
Brittany,23201.56709861971,80.30441852390214,13.282060362391794,15.70197780002959,48.725494267723846,85,20103.0,1764.0,0,0.0,1.0,4.0,1.0,3.0
Brittany,22029.356592578573,76.06398676943896,12.867068941635033,16.353384441459283,43.58008852396705,85,17026.0,1246.0,0,0.0,1.0,4.0,1.0,2.0
Brittany,22130.703841219787,78.9919071017909,12.919674939575891,14.19489620871392,51.5136380693083,50,16890.0,614.0,0,0.0,1.0,2.0,1.0,2.0
Brittany,22437.12969666666,78.63531380672913,13.157805340278005,14.89214298210158,43.96277496933183,50,17026.0,1246.0,0,1.0,1.0,4.0,1.0,2.0
Brittany,23608.05861851789,79.52569646615854,13.489958780086864,16.169383411007637,47.13141010879079,70,25956.0,623.0,0,0.0,1.0,4.0,0.0,1.0
Brittany,22741.41301097155,82.2415253846212,12.489943442643323,16.33575394124909,50.59994461330862,85,25956.0,623.0,0,0.0,1.0,4.0,3.0,1.0
Brittany,23497.261733356256,82.01461947348221,13.785763872713746,16.707595472889313,45.88049800794598,70,20671.0,1852.0,0,0.0,1.0,4.0,2.0,3.0
Brittany,23278.86418890993,83.38185860332443,13.314502347093583,16.912495289572345,49.9390985892044,85,19199.0,326.0,0,1.0,1.0,4.0,1.0,2.0
Brittany,22950.812968692644,81.78900263470204,13.189475278695951,16.28395888584852,46.29039004720916,85,19199.0,326.0,0,1.0,1.0,4.0,1.0,1.0
Brittany,22340.800457667036,80.35226566636689,13.023649693743558,15.742542727654037,48.90754810006094,85,25275.0,826.0,0,1.0,1.0,4.0,2.0,1.0
Brittany,22168.621936601136,82.59308655597167,13.025109747351646,15.697129844410194,51.22803588556202,85,17026.0,1246.0,0,0.0,2.0,4.0,0.0,1.0
Brittany,22013.150818598624,82.12172657217452,12.83575469642683,15.86223809174571,46.45763193256792,95,20671.0,1852.0,0,0.0,1.0,2.0,3.0,0.0
Brittany,23235.604536709285,80.50288300626619,13.92487011995382,17.117541448011288,49.629457564754304,30,19199.0,326.0,0,0.0,1.0,4.0,1.0,2.0
Brittany,22553.95803384845,80.0226246556732,12.806352017563864,15.958006895446902,46.46155917569404,95,24659.0,2606.0,0,0.0,1.0,4.0,3.0,0.0
Brittany,23558.025869883902,82.77465953260585,13.484696479743706,17.503650033676664,46.894619706055416,30,24659.0,2606.0,0,0.0,1.0,4.0,0.0,2.0
Brittany,22022.3568734121,78.9846486983756,12.59847435474182,14.488680080609344,47.26441067749131,50,16890.0,614.0,0,0.0,0.0,4.0,1.0,0.0
Cairn Terrier,22243.015133495388,62.39644844668054,14.168699672947284,6.274401259786595,25.430908689034933,95,25956.0,623.0,2,0.0,0.0,3.0,0.0,0.0
Cairn Terrier,23115.092800420454,60.202480146998965,13.900692100027385,5.972557351255308,25.464257436854247,70,20671.0,1852.0,2,1.0,0.0,3.0,0.0,0.0
Cairn Terrier,20746.376043180975,60.17789281336978,13.988927849992336,6.2539888142198565,25.440007739276872,70,20671.0,1852.0,2,0.0,0.0,3.0,0.0,1.0
Cairn Terrier,22514.197656065713,62.2088344496665,13.867657756588162,6.61102537461635,22.42970284694536,70,20671.0,1852.0,2,1.0,0.0,3.0,1.0,1.0
Cairn Terrier,21809.816952694884,58.98841334190793,13.440906002813383,5.822411424128819,25.03005523081716,70,20671.0,1852.0,2,1.0,0.0,3.0,0.0,0.0
Cairn Terrier,21069.92045265142,61.678727313051134,13.874044283561004,5.785422248970173,27.062516565776,70,15115.0,609.0,0,0.0,0.0,3.0,1.0,0.0
Cairn Terrier,20899.78332257006,58.02936301272696,13.99173413097166,5.811223218020541,26.078588038809592,85,20671.0,1852.0,2,0.0,0.0,3.0,0.0,1.0
Cairn Terrier,21318.58448714418,62.91216678115812,14.07903371246242,5.499234406791858,24.397790030982332,70,16890.0,614.0,2,0.0,0.0,2.0,2.0,0.0
Cairn Terrier,21532.26182879289,57.13759850562163,14.300675040025734,5.924563485140764,24.890975959610216,70,16890.0,614.0,2,1.0,0.0,3.0,0.0,1.0
Cairn Terrier,21676.074855634764,64.88163545167113,14.636816447128844,5.37496335729138,21.94676234695752,50,25275.0,826.0,0,1.0,0.0,3.0,3.0,3.0
Cairn Terrier,22740.38746653828,56.87788881298045,13.720150045474654,6.119511510386154,25.70349599883095,70,16890.0,614.0,2,1.0,0.0,5.0,1.0,3.0
Cairn Terrier,21774.99203015809,57.64606618649246,14.133483890619113,6.087740411312561,24.10148492900344,30,25275.0,826.0,0,1.0,0.0,3.0,2.0,1.0
Cairn Terrier,22517.10974434936,56.75521849959059,14.139411239176225,5.9024206165598745,22.968804025020123,70,25275.0,826.0,2,0.0,0.0,3.0,1.0,1.0
Cairn Terrier,21817.012491543155,63.425520646001296,13.996982595949447,6.186882756355812,23.491217283646325,70,16890.0,614.0,2,1.0,0.0,3.0,1.0,2.0
Cairn Terrier,21129.355019124043,59.4718968566131,14.303815978747124,5.641502193599473,24.67854020301957,70,20103.0,1764.0,2,1.0,0.0,3.0,0.0,0.0
Cairn Terrier,21536.21167605668,63.2461362273515,14.15195194149272,5.8294490475580085,25.88390761548108,50,25275.0,826.0,0,0.0,0.0,4.0,0.0,0.0
Cairn Terrier,21826.7806162142,60.80710895454974,13.01927084533538,5.428113303781735,26.777139365738208,30,20671.0,1852.0,0,1.0,0.0,3.0,3.0,1.0
Cairn Terrier,21099.255965007997,59.78627531966569,14.557670575700998,6.053135230455418,25.723141811116108,85,15115.0,609.0,2,1.0,0.0,3.0,0.0,0.0
Cairn Terrier,22184.43596247779,62.85886169302911,13.581929121352095,5.797937126262366,25.13151633262521,70,16890.0,614.0,0,1.0,0.0,3.0,2.0,2.0
Cairn Terrier,22755.162712167377,64.34351031385522,13.95668317858247,6.57194988919594,23.804470462006627,95,20671.0,1852.0,0,1.0,0.0,3.0,1.0,1.0
Cairn Terrier,22349.79248810833,61.91937779865136,13.70764861966794,5.867183414066735,22.57728576379549,50,16890.0,614.0,2,1.0,0.0,3.0,3.0,3.0
Cairn Terrier,22383.250316390946,63.040963546397286,13.41322892646821,5.851424860039359,24.04620399077179,70,20103.0,1764.0,0,1.0,0.0,3.0,2.0,0.0
Cairn Terrier,22436.230222348087,62.13981791546549,13.478691734742066,5.848287780802467,26.41471217556756,85,20671.0,1852.0,2,0.0,0.0,3.0,0.0,0.0
Cairn Terrier,22073.26461928461,62.28213088450698,12.885825438330553,5.937664601063495,24.709114590302693,50,17026.0,1246.0,2,0.0,0.0,3.0,0.0,2.0
Cairn Terrier,21128.10636333979,62.30846761199888,13.35522039541077,6.000471703689982,26.612635093731697,30,19199.0,326.0,2,1.0,0.0,2.0,1.0,1.0
Cairn Terrier,23108.997767796987,58.39562380420232,13.671478146708909,5.800847580198016,25.39533611960619,85,25956.0,623.0,2,0.0,0.0,3.0,1.0,0.0
Cairn Terrier,23058.409172500764,56.81005541952272,14.60429582436904,6.058587305672523,25.93706875451888,85,20103.0,1764.0,2,1.0,0.0,5.0,3.0,1.0
Cairn Terrier,21501.79378108872,61.71478499659884,13.77719606932991,5.894116168357318,23.304022268292616,70,25275.0,826.0,2,0.0,0.0,3.0,2.0,0.0
Cairn Terrier,21471.958971383818,67.87915754089447,14.657715304745508,6.139352192916748,24.256478903922343,70,17026.0,1246.0,2,0.0,0.0,3.0,1.0,0.0
Cairn Terrier,22773.74138898368,59.0059590475224,14.553945965152456,6.192753353577633,23.71966271592188,70,19199.0,326.0,2,0.0,0.0,3.0,3.0,1.0
Cairn Terrier,21833.432456339702,61.03240107232595,14.169602561569242,5.774520753412795,25.72280169212729,70,17026.0,1246.0,2,1.0,0.0,3.0,1.0,1.0
Cairn Terrier,21283.93859320378,62.631796104258,13.838730107965642,5.848632223238589,23.132214186181034,85,17026.0,1246.0,2,0.0,0.0,3.0,0.0,3.0
Cairn Terrier,20887.408815790397,60.327538630215976,13.927118919627492,5.761163781649765,25.388694969487823,70,15115.0,609.0,2,1.0,0.0,0.0,2.0,0.0
Cairn Terrier,21991.024454195565,57.08966244949536,13.91084535772823,6.043049912348531,24.315123715027543,30,17026.0,1246.0,0,1.0,0.0,3.0,0.0,1.0
Cairn Terrier,22071.92035522899,60.91424618456386,13.438977227450987,6.392379583145692,25.59077472972861,70,25275.0,826.0,2,0.0,0.0,3.0,0.0,0.0
Cairn Terrier,22177.5240941098,65.41058773183063,14.05622747794967,5.845873132535697,23.990845671168305,70,20103.0,1764.0,0,0.0,0.0,4.0,1.0,2.0
Cairn Terrier,20648.22737216236,59.637521827687394,14.813709398406038,6.309656724252886,26.01045295023428,85,16890.0,614.0,2,1.0,2.0,3.0,3.0,2.0
Cairn Terrier,22715.225955539972,58.34125217375262,13.216572013797208,6.534981053706651,25.20785400993289,70,20671.0,1852.0,2,1.0,0.0,3.0,0.0,3.0
Cairn Terrier,22089.84332636449,61.44807850141568,14.07062945448668,6.059901247204939,25.392304188525223,85,20671.0,1852.0,2,0.0,0.0,4.0,0.0,1.0
Cairn Terrier,21048.330256708727,63.0533403828203,14.217484601496828,6.382311762916865,24.276203784287254,70,16890.0,614.0,2,0.0,0.0,3.0,1.0,3.0
Cairn Terrier,22330.44106832676,64.9119123956039,13.847968743607645,5.648490047058241,25.40481864068979,95,25956.0,623.0,2,1.0,2.0,3.0,2.0,3.0
Cairn Terrier,22204.87871682097,61.01789791884149,13.258924617139236,6.067101555402083,23.88254048403376,70,16890.0,614.0,2,1.0,0.0,3.0,2.0,0.0
Cairn Terrier,21901.82201207984,60.35052536207348,14.071076485278695,5.875016796078622,23.67543025077977,70,17026.0,1246.0,2,1.0,0.0,3.0,0.0,0.0
Cairn Terrier,21679.478202970466,61.88512945779283,13.783519351343582,5.78438272933674,26.45845930860422,50,20671.0,1852.0,0,0.0,0.0,3.0,0.0,0.0
Cairn Terrier,21644.516186748006,61.51220775679732,14.159327745469488,5.829928215002128,24.48542507146854,70,20103.0,1764.0,2,1.0,0.0,3.0,0.0,1.0
Cairn Terrier,21997.57315482385,61.63476302351904,13.809485724094037,6.028208562182964,23.84628693093512,70,16890.0,614.0,2,0.0,0.0,3.0,0.0,0.0
Cairn Terrier,22541.64417115424,60.70217693452918,13.525999616651877,6.392446446948279,23.34122087349816,30,20103.0,1764.0,2,0.0,0.0,3.0,1.0,1.0
Cairn Terrier,22406.63837267203,61.27253915713234,13.772394653912528,5.804651474818269,24.16489545953984,70,20103.0,1764.0,2,0.0,0.0,3.0,1.0,1.0
Cairn Terrier,21802.855974464706,57.84289295071125,14.823550145304672,5.820267837531675,26.968817828499347,70,19199.0,326.0,0,0.0,0.0,1.0,1.0,0.0
Cairn Terrier,21742.643696103838,60.04495809453053,14.472236988671122,6.528004433081861,26.356707154224228,70,17026.0,1246.0,2,0.0,0.0,3.0,0.0,0.0
English Cocker Spaniel,18790.62125332161,80.44857447684346,11.828466022986865,13.867410973920505,41.33304236063056,30,20671.0,1852.0,0,1.0,1.0,4.0,0.0,1.0
English Cocker Spaniel,20243.10971156111,81.33990907147927,12.744161409532524,13.915552541044528,42.330312237170034,70,15115.0,609.0,0,0.0,1.0,4.0,1.0,1.0
English Cocker Spaniel,18957.44208159591,81.12822883756589,11.761990787921928,15.770221318048623,41.59833329045896,85,15115.0,609.0,0,0.0,1.0,2.0,2.0,1.0
English Cocker Spaniel,19402.59444280958,80.47413491315393,11.368499806317413,13.882430213015123,39.31189862109584,85,20103.0,1764.0,0,0.0,1.0,4.0,1.0,2.0
English Cocker Spaniel,19408.089817494678,82.65866832426715,12.0901880948781,13.793656254462652,44.58580585389072,50,15115.0,609.0,0,0.0,1.0,4.0,1.0,1.0
English Cocker Spaniel,18775.27678449199,86.01581790188642,10.942165559645344,14.345151092922915,41.56029106103738,50,15115.0,609.0,0,1.0,1.0,3.0,3.0,1.0
English Cocker Spaniel,19417.08689895194,78.50857802129546,11.700225487403522,13.611945847392748,39.13108480648797,30,15115.0,609.0,0,0.0,1.0,1.0,3.0,2.0
English Cocker Spaniel,18329.13597553849,84.03503677256552,11.925693461200206,15.037713810264634,39.95336389751207,85,16890.0,614.0,0,0.0,2.0,3.0,1.0,3.0
English Cocker Spaniel,19885.61435062988,80.8841446618448,11.727705095937916,14.832345968906202,39.873901875262966,85,16890.0,614.0,0,0.0,1.0,4.0,1.0,2.0
English Cocker Spaniel,19219.399060097,80.50524254040228,11.45869160471277,13.649529461609546,36.168668800959615,95,15115.0,609.0,0,1.0,1.0,4.0,1.0,0.0
English Cocker Spaniel,19656.217980609763,83.41541903693182,11.959178210528371,14.078493196012342,40.828969391845895,85,20103.0,1764.0,0,0.0,1.0,4.0,1.0,3.0
English Cocker Spaniel,18876.03213650629,76.9920698108689,11.441780096272096,12.981088889730875,43.63622323294904,85,19199.0,326.0,0,1.0,1.0,0.0,1.0,1.0
English Cocker Spaniel,18487.95435846635,78.32334491269816,11.90238286735758,12.96695300266438,36.051819484577,50,13605.0,1140.0,0,0.0,1.0,4.0,0.0,1.0
English Cocker Spaniel,19556.10540551478,79.99151415511359,11.887509317931322,14.193259357124417,47.0624255524244,30,16890.0,614.0,0,0.0,2.0,4.0,1.0,2.0
English Cocker Spaniel,19099.81711618583,82.24395974753348,11.603364149915478,13.134801254658198,41.43392972927973,85,16890.0,614.0,0,0.0,2.0,4.0,3.0,0.0
English Cocker Spaniel,18851.980240015848,79.55900584405978,11.329682086018655,14.636672296267523,39.77859697018799,50,17026.0,1246.0,0,0.0,1.0,4.0,2.0,2.0
English Cocker Spaniel,19822.72618627665,78.54282945025196,12.119602948908836,14.68532474448915,40.55818381663073,70,20671.0,1852.0,0,0.0,1.0,4.0,3.0,3.0
English Cocker Spaniel,19832.3409188974,83.76880055534131,11.90487918181432,13.989492119950302,41.50815474063655,85,19199.0,326.0,0,0.0,1.0,5.0,2.0,3.0
English Cocker Spaniel,19526.821746424648,84.10201924623473,12.10646869426687,13.64482531700111,44.25604211478024,95,17026.0,1246.0,0,0.0,1.0,4.0,1.0,2.0
English Cocker Spaniel,19603.050852539083,84.27443385591383,11.777185130130375,14.752696857903064,39.91584390825212,85,20671.0,1852.0,0,0.0,1.0,1.0,2.0,3.0
English Cocker Spaniel,16929.758854840235,80.81016875036262,12.369589161011117,13.697213703634429,42.09025186234455,95,16890.0,614.0,0,0.0,1.0,4.0,1.0,2.0
English Cocker Spaniel,18817.52786049518,80.17375729245053,12.013059942094438,13.624324670705128,43.50145029672503,30,20103.0,1764.0,0,0.0,1.0,5.0,0.0,1.0
English Cocker Spaniel,18445.69686017336,80.12843118902705,11.862979179844066,15.382075071211798,38.87357564947831,30,15115.0,609.0,0,1.0,1.0,4.0,1.0,0.0
English Cocker Spaniel,19086.896450014978,83.9840053220014,12.233045087881534,13.12861477712022,39.64672278464932,30,15115.0,609.0,0,0.0,1.0,4.0,1.0,1.0
English Cocker Spaniel,18809.660868147843,79.957093778824,11.832275819801554,13.46505445660242,43.82833312680139,85,16890.0,614.0,0,1.0,1.0,4.0,1.0,1.0
English Cocker Spaniel,19241.2015140183,85.08909326607629,11.549932295844783,14.47530483615858,42.71646535994499,85,17026.0,1246.0,0,0.0,1.0,4.0,2.0,0.0
English Cocker Spaniel,19035.329079619285,82.04851405514702,10.749227107773438,14.668429769104767,41.7775385470542,70,20671.0,1852.0,0,1.0,1.0,5.0,2.0,1.0
English Cocker Spaniel,18706.557138368946,80.05749802205578,11.35915580241147,14.693273193524664,43.28586910666738,95,17026.0,1246.0,0,0.0,1.0,4.0,1.0,0.0
English Cocker Spaniel,19305.904912064252,80.40780999476502,11.317029630595846,13.018349708058793,43.76603261420631,95,20671.0,1852.0,0,0.0,1.0,0.0,2.0,1.0
English Cocker Spaniel,18354.56002837288,80.44340048700622,11.860933376730207,13.71228236406459,43.35475338005772,30,20103.0,1764.0,0,0.0,1.0,4.0,1.0,1.0
English Cocker Spaniel,20098.47413726376,82.88033153060567,11.687528343070658,13.78812478739606,45.34897975621566,85,16890.0,614.0,0,1.0,1.0,4.0,1.0,3.0
English Cocker Spaniel,19065.1713506504,78.33281155150328,11.667275699679982,13.216338249719868,38.68056678182956,85,15115.0,609.0,0,0.0,2.0,4.0,3.0,2.0
English Cocker Spaniel,19043.73317359692,80.53161744404967,11.112431119714762,12.718923600141544,39.286522986133456,95,15115.0,609.0,0,0.0,1.0,4.0,1.0,3.0
English Cocker Spaniel,19022.35403232644,83.75404211155062,11.987458353335455,13.133639764822162,40.44297857323637,85,20103.0,1764.0,0,0.0,0.0,2.0,1.0,0.0
English Cocker Spaniel,19073.604555034635,85.51811601108037,11.94482978838911,13.961158311889031,41.36668814167904,70,19199.0,326.0,0,0.0,1.0,3.0,2.0,1.0
English Cocker Spaniel,18675.721434097995,84.2086066842058,11.987589993826957,15.357684468302857,37.74620008331516,85,20103.0,1764.0,0,0.0,1.0,4.0,2.0,3.0
English Cocker Spaniel,19415.96640963414,78.63731597267171,11.62439852157809,14.286019195027476,40.25083030580881,70,19199.0,326.0,0,1.0,0.0,4.0,1.0,3.0
English Cocker Spaniel,19172.210893580504,82.00773785744394,12.180192986603382,13.63251108423915,40.126298113003,85,20671.0,1852.0,0,1.0,1.0,4.0,3.0,2.0
English Cocker Spaniel,19284.645486516456,81.84740343289693,11.156894169188789,14.76750692086095,42.30629354556564,85,15115.0,609.0,0,0.0,1.0,4.0,1.0,0.0
English Cocker Spaniel,19719.4592192335,78.92668505442099,11.254794683131022,13.8378333749028,37.8596986091478,70,20671.0,1852.0,0,0.0,1.0,4.0,0.0,1.0
English Cocker Spaniel,18613.742425603712,81.84427445523377,12.289774964596717,13.690790127129908,43.14213711945833,70,20103.0,1764.0,0,0.0,1.0,4.0,1.0,2.0
English Cocker Spaniel,18752.46696507949,81.57325926094897,11.557019197600528,14.4243668109699,39.174126947553226,95,17026.0,1246.0,0,1.0,1.0,4.0,0.0,2.0
English Cocker Spaniel,19368.22988509112,81.75183498447188,11.73937326667847,13.767967880238617,40.42670558322382,85,15115.0,609.0,0,0.0,1.0,4.0,2.0,2.0
English Cocker Spaniel,19670.56907095256,80.99207894530267,11.991440363755656,13.41150921362295,42.65644276661118,85,20671.0,1852.0,0,0.0,1.0,0.0,1.0,1.0
English Cocker Spaniel,18965.920089935895,77.10614703488423,11.390890842161769,12.453467535249466,38.45587343292922,70,20671.0,1852.0,0,0.0,1.0,4.0,2.0,1.0
English Cocker Spaniel,18572.86992608273,85.09765598279644,11.333802595282958,14.0453947673453,38.71788283332082,50,16890.0,614.0,0,0.0,1.0,4.0,3.0,1.0
English Cocker Spaniel,19274.9895477125,85.89825116445037,11.158878155301164,13.411688942202774,41.060930617965234,85,16890.0,614.0,0,0.0,1.0,4.0,2.0,1.0
English Cocker Spaniel,19024.8834525402,83.9042272063691,12.421902145056343,12.891103580577136,42.92703594450723,85,16890.0,614.0,0,0.0,1.0,4.0,3.0,1.0
English Cocker Spaniel,19107.231293935783,84.66854442025709,11.374632908699406,12.7622653723629,40.615535298893874,85,20671.0,1852.0,0,0.0,1.0,1.0,3.0,1.0
English Cocker Spaniel,18705.35562888779,81.25400076257796,12.0624705942945,15.39338987360869,41.65539913330918,70,15115.0,609.0,0,0.0,1.0,3.0,1.0,2.0
Cocker Spaniel,24711.069836242626,84.49261696763388,11.919291997274676,10.86576637126725,36.99791569783624,70,20103.0,1764.0,0,1.0,0.0,4.0,1.0,0.0
Cocker Spaniel,25045.212202865805,79.4442002425598,12.145074916863544,10.932013443383669,34.707178745780794,70,25275.0,826.0,2,0.0,0.0,5.0,3.0,1.0
Cocker Spaniel,24885.235522408697,78.0042064268799,12.583445538142325,11.103135959517235,39.06632242136499,85,20671.0,1852.0,2,1.0,0.0,1.0,0.0,0.0
Cocker Spaniel,23456.11410367737,75.11771611961473,12.377230290902617,10.902622228920649,37.79545820552535,85,25956.0,623.0,2,0.0,0.0,4.0,1.0,1.0
Cocker Spaniel,25007.39752103077,75.30777971721717,13.130306504382874,11.429960857001795,36.8787597889212,50,24659.0,2606.0,0,0.0,0.0,4.0,0.0,0.0
Cocker Spaniel,24208.89284224505,80.21216203700969,12.31565787581433,10.920819365736223,35.5658449741108,30,24659.0,2606.0,2,0.0,0.0,4.0,0.0,0.0
Cocker Spaniel,24113.444772285657,76.53321547277382,12.836577199469795,11.4370237989075,36.12491526534826,95,20671.0,1852.0,2,0.0,0.0,0.0,3.0,0.0
Cocker Spaniel,25954.64922458191,81.43259917933337,12.55643382618398,11.74579183297868,37.033273662445815,85,24659.0,2606.0,2,1.0,0.0,4.0,1.0,0.0
Cocker Spaniel,22900.9969271802,78.24087901752854,12.523634983402124,12.05078474703849,39.36933832193024,70,24659.0,2606.0,2,0.0,0.0,4.0,0.0,3.0
Cocker Spaniel,23032.247422216016,79.52119916115024,12.81118884077331,11.57110656528756,34.849527118496866,85,20671.0,1852.0,2,1.0,0.0,2.0,1.0,0.0
Cocker Spaniel,24043.52050578419,78.59030582030267,12.458296227397824,10.977326423505495,36.3837112937907,85,20671.0,1852.0,0,0.0,0.0,4.0,0.0,3.0
Cocker Spaniel,25027.916963530908,77.04178777852823,12.759743721168231,11.123396583964407,40.29538841723144,95,20671.0,1852.0,2,1.0,0.0,4.0,2.0,3.0
Cocker Spaniel,23831.62184336278,80.28847377159433,12.388472988956453,10.71737890269024,38.937709999981394,70,25275.0,826.0,2,0.0,0.0,5.0,0.0,0.0
Cocker Spaniel,24447.555450236378,81.77054318100025,12.319699757862931,10.930961531189906,35.53606042756155,85,28233.0,165.0,2,0.0,0.0,5.0,0.0,1.0
Cocker Spaniel,24093.8243642316,82.46073253620526,12.102880472909654,10.628484038518591,35.05952507348407,50,20671.0,1852.0,2,1.0,0.0,3.0,0.0,1.0
Cocker Spaniel,23124.67346835081,76.14080366909073,12.05516538304502,11.122865941136912,35.653835493877395,85,25275.0,826.0,2,0.0,0.0,4.0,0.0,0.0
Cocker Spaniel,25128.642006043403,78.34025920932666,12.386638349298323,10.998265827319209,37.00047945741271,85,24659.0,2606.0,2,1.0,0.0,4.0,1.0,2.0
