,Dog breed,lifetime_cost,intellingence_ranking,longevity,size_category,weight_kg,shoulder_height_cm,intelligence_category,obey_first_command_%_of_time,genetic_diseases,house_type,owners_physical_activity,tricks,Distrito,Renta media/pers (€),Áreas caninas (m²)
28,Brittany,23.73149649972179,77.95069353510021,12.706832581618617,medium,16.004954030079666,44.656096166448634,Excellent,>85,none,Finca,Poco frecuente,no,Moncloa-Aravaca,24659.0,2606.0
29,Brittany,22.401835297077156,81.67446880951448,12.762307789843259,medium,16.745776310769383,47.769378166128426,Above average,>30,none,Jardín Amplio,Frecuente,no,Tetuán,17026.0,1246.0
30,Brittany,23.51533860413735,77.35042291446187,13.59310279795348,medium,15.646263297655578,47.300099935667674,Excellent,>85,none,Apartamento mediano,Frecuente,no,Salamanca,25956.0,623.0
31,Brittany,22.60143415726893,80.60364888540805,13.03014717909203,medium,16.16776748642812,47.41565393935414,Average,>95,none,Apartamento mediano,Poco frecuente,yes,Centro,19199.0,326.0
32,Brittany,22.519841281526517,78.7463882168555,12.9946792407377,medium,15.360306727148632,47.65694000981484,Excellent,>70,none,Apartamento mediano,Muy frecuente,no,Centro,19199.0,326.0
33,Brittany,23.24078022315019,83.84638061630778,12.77435066319896,medium,16.1515931300557,48.80969725212819,Excellent,>50,none,Jardín Amplio,Muy frecuente,no,Centro,19199.0,326.0
34,Brittany,23.201567098619712,80.30441852390214,13.282060362391794,medium,15.70197780002959,48.725494267723846,Excellent,>85,none,Apartamento mediano,Muy frecuente,no,Arganzuela,20103.0,1764.0
35,Brittany,22.029356592578573,76.06398676943896,12.867068941635031,medium,16.353384441459283,43.58008852396705,Excellent,>85,none,Apartamento mediano,Frecuente,no,Tetuán,17026.0,1246.0
36,Brittany,22.130703841219788,78.9919071017909,12.919674939575891,medium,14.19489620871392,51.5136380693083,Average,>50,none,Apartamento mediano,Frecuente,no,Ciudad Lineal,16890.0,614.0
37,Brittany,22.43712969666666,78.63531380672913,13.157805340278005,medium,14.89214298210158,43.96277496933183,Excellent,>50,none,Apartamento mediano,Frecuente,yes,Tetuán,17026.0,1246.0
38,Brittany,23.60805861851789,79.52569646615854,13.489958780086864,medium,16.169383411007637,47.13141010879079,Excellent,>70,none,Apartamento pequeño,Poco frecuente,no,Salamanca,25956.0,623.0
39,Brittany,22.741413010971552,82.2415253846212,12.489943442643323,medium,16.33575394124909,50.59994461330862,Excellent,>85,none,Finca,Poco frecuente,no,Salamanca,25956.0,623.0
40,Brittany,23.497261733356257,82.01461947348221,13.785763872713746,medium,16.707595472889313,45.88049800794598,Excellent,>70,none,Jardín Amplio,Muy frecuente,no,Fuencarral-El Pardo,20671.0,1852.0
41,Brittany,23.27886418890993,83.38185860332443,13.314502347093585,medium,16.912495289572345,49.9390985892044,Excellent,>85,none,Apartamento mediano,Frecuente,yes,Centro,19199.0,326.0
42,Brittany,22.950812968692645,81.78900263470204,13.189475278695951,medium,16.28395888584852,46.29039004720916,Excellent,>85,none,Apartamento mediano,Poco frecuente,yes,Centro,19199.0,326.0
43,Brittany,22.340800457667033,80.35226566636689,13.023649693743558,medium,15.742542727654035,48.90754810006094,Excellent,>85,none,Jardín Amplio,Poco frecuente,yes,Chamberí,25275.0,826.0
44,Brittany,22.168621936601138,82.59308655597167,13.025109747351646,large,15.697129844410194,51.22803588556202,Excellent,>85,none,Apartamento pequeño,Poco frecuente,no,Tetuán,17026.0,1246.0
45,Brittany,22.013150818598625,82.12172657217452,12.83575469642683,medium,15.86223809174571,46.45763193256792,Average,>95,none,Finca,Nada,no,Fuencarral-El Pardo,20671.0,1852.0
46,Brittany,23.235604536709285,80.50288300626619,13.924870119953821,medium,17.117541448011288,49.629457564754304,Excellent,>30,none,Apartamento mediano,Frecuente,no,Centro,19199.0,326.0
47,Brittany,22.553958033848446,80.0226246556732,12.806352017563865,medium,15.958006895446902,46.46155917569404,Excellent,>95,none,Finca,Nada,no,Moncloa-Aravaca,24659.0,2606.0
48,Brittany,23.558025869883906,82.77465953260585,13.484696479743706,medium,17.503650033676664,46.894619706055416,Excellent,<30,none,Apartamento pequeño,Frecuente,no,Moncloa-Aravaca,24659.0,2606.0
49,Brittany,22.0223568734121,78.9846486983756,12.59847435474182,small,14.488680080609345,47.26441067749131,Excellent,>50,none,Apartamento mediano,Nada,no,Ciudad Lineal,16890.0,614.0
50,Cairn Terrier,22.243015133495387,62.39644844668054,14.168699672947284,small,6.274401259786595,25.430908689034933,Above average,>95,"'lion jaw', heart problems  ",Apartamento pequeño,Nada,no,Salamanca,25956.0,623.0
51,Cairn Terrier,23.115092800420456,60.202480146998965,13.900692100027385,small,5.972557351255308,25.464257436854247,Above average,>70,"'lion jaw', heart problems  ",Apartamento pequeño,Nada,yes,Fuencarral-El Pardo,20671.0,1852.0
52,Cairn Terrier,20.746376043180977,60.17789281336978,13.988927849992335,small,6.2539888142198565,25.440007739276872,Above average,>70,"'lion jaw', heart problems  ",Apartamento pequeño,Poco frecuente,no,Fuencarral-El Pardo,20671.0,1852.0
53,Cairn Terrier,22.51419765606571,62.208834449666504,13.867657756588162,small,6.61102537461635,22.42970284694536,Above average,>70,"'lion jaw', heart problems  ",Apartamento mediano,Poco frecuente,yes,Fuencarral-El Pardo,20671.0,1852.0
54,Cairn Terrier,21.809816952694884,58.98841334190793,13.440906002813385,small,5.822411424128819,25.03005523081716,Above average,>70,"'lion jaw', heart problems  ",Apartamento pequeño,Nada,yes,Fuencarral-El Pardo,20671.0,1852.0
55,Cairn Terrier,21.06992045265142,61.678727313051134,13.874044283561004,small,5.785422248970173,27.062516565775997,Above average,>70,none,Apartamento mediano,Nada,no,San Blas-Canillejas,15115.0,609.0
56,Cairn Terrier,20.89978332257006,58.02936301272696,13.99173413097166,small,5.811223218020541,26.078588038809592,Above average,>85,"'lion jaw', heart problems  ",Apartamento pequeño,Poco frecuente,no,Fuencarral-El Pardo,20671.0,1852.0
57,Cairn Terrier,21.31858448714418,62.91216678115812,14.07903371246242,small,5.499234406791858,24.397790030982335,Average,>70,"'lion jaw', heart problems  ",Jardín Amplio,Nada,no,Ciudad Lineal,16890.0,614.0
58,Cairn Terrier,21.53226182879289,57.13759850562163,14.300675040025734,small,5.924563485140764,24.890975959610216,Above average,>70,"'lion jaw', heart problems  ",Apartamento pequeño,Poco frecuente,yes,Ciudad Lineal,16890.0,614.0
59,Cairn Terrier,21.676074855634763,64.88163545167113,14.636816447128844,small,5.37496335729138,21.94676234695752,Above average,>50,none,Finca,Muy frecuente,yes,Chamberí,25275.0,826.0
60,Cairn Terrier,22.740387466538277,56.877888812980444,13.720150045474654,small,6.119511510386154,25.70349599883095,Brightest,>70,"'lion jaw', heart problems  ",Apartamento mediano,Muy frecuente,yes,Ciudad Lineal,16890.0,614.0
61,Cairn Terrier,21.77499203015809,57.64606618649246,14.133483890619113,small,6.087740411312561,24.101484929003437,Above average,>30,none,Jardín Amplio,Poco frecuente,yes,Chamberí,25275.0,826.0
62,Cairn Terrier,22.517109744349362,56.75521849959059,14.139411239176225,small,5.9024206165598745,22.968804025020123,Above average,>70,"'lion jaw', heart problems  ",Apartamento mediano,Poco frecuente,no,Chamberí,25275.0,826.0
63,Cairn Terrier,21.817012491543153,63.425520646001296,13.996982595949447,small,6.186882756355812,23.491217283646325,Above average,>70,"'lion jaw', heart problems  ",Apartamento mediano,Frecuente,yes,Ciudad Lineal,16890.0,614.0
64,Cairn Terrier,21.129355019124038,59.4718968566131,14.303815978747123,small,5.641502193599473,24.678540203019566,Above average,>70,"'lion jaw', heart problems  ",Apartamento pequeño,Nada,yes,Arganzuela,20103.0,1764.0
65,Cairn Terrier,21.536211676056674,63.2461362273515,14.151951941492719,small,5.8294490475580085,25.883907615481082,Excellent,>50,none,Apartamento pequeño,Nada,no,Chamberí,25275.0,826.0
66,Cairn Terrier,21.8267806162142,60.80710895454974,13.01927084533538,small,5.428113303781735,26.777139365738208,Above average,>30,none,Finca,Poco frecuente,yes,Fuencarral-El Pardo,20671.0,1852.0
67,Cairn Terrier,21.099255965008002,59.78627531966569,14.557670575700998,small,6.053135230455418,25.723141811116108,Above average,>85,"'lion jaw', heart problems  ",Apartamento pequeño,Nada,yes,San Blas-Canillejas,15115.0,609.0
68,Cairn Terrier,22.18443596247779,62.85886169302911,13.581929121352095,small,5.797937126262366,25.131516332625214,Above average,>70,none,Jardín Amplio,Frecuente,yes,Ciudad Lineal,16890.0,614.0
69,Cairn Terrier,22.755162712167376,64.34351031385522,13.95668317858247,small,6.57194988919594,23.804470462006627,Above average,>95,none,Apartamento mediano,Poco frecuente,yes,Fuencarral-El Pardo,20671.0,1852.0
70,Cairn Terrier,22.34979248810833,61.91937779865136,13.70764861966794,small,5.8671834140667345,22.57728576379549,Above average,>50,"'lion jaw', heart problems  ",Finca,Muy frecuente,yes,Ciudad Lineal,16890.0,614.0
71,Cairn Terrier,22.383250316390946,63.040963546397286,13.41322892646821,small,5.851424860039359,24.04620399077179,Above average,>70,none,Jardín Amplio,Nada,yes,Arganzuela,20103.0,1764.0
72,Cairn Terrier,22.436230222348087,62.13981791546549,13.478691734742066,small,5.848287780802467,26.414712175567562,Above average,>85,"'lion jaw', heart problems  ",Apartamento pequeño,Nada,no,Fuencarral-El Pardo,20671.0,1852.0
73,Cairn Terrier,22.073264619284615,62.282130884506984,12.885825438330553,small,5.937664601063495,24.709114590302693,Above average,>50,"'lion jaw', heart problems  ",Apartamento pequeño,Frecuente,no,Tetuán,17026.0,1246.0
74,Cairn Terrier,21.12810636333979,62.30846761199888,13.35522039541077,small,6.000471703689982,26.612635093731697,Average,>30,"'lion jaw', heart problems  ",Apartamento mediano,Poco frecuente,yes,Centro,19199.0,326.0
75,Cairn Terrier,23.108997767796986,58.395623804202316,13.671478146708907,small,5.800847580198016,25.39533611960619,Above average,>85,"'lion jaw', heart problems  ",Apartamento mediano,Nada,no,Salamanca,25956.0,623.0
76,Cairn Terrier,23.058409172500763,56.81005541952272,14.60429582436904,small,6.058587305672523,25.937068754518876,Brightest,>85,"'lion jaw', heart problems  ",Finca,Poco frecuente,yes,Arganzuela,20103.0,1764.0
77,Cairn Terrier,21.501793781088722,61.71478499659884,13.77719606932991,small,5.894116168357318,23.304022268292616,Above average,>70,"'lion jaw', heart problems  ",Jardín Amplio,Nada,no,Chamberí,25275.0,826.0
78,Cairn Terrier,21.471958971383817,67.87915754089447,14.657715304745508,small,6.139352192916748,24.256478903922343,Above average,>70,"'lion jaw', heart problems  ",Apartamento mediano,Nada,no,Tetuán,17026.0,1246.0
79,Cairn Terrier,22.77374138898368,59.005959047522396,14.553945965152455,small,6.192753353577633,23.719662715921878,Above average,>70,"'lion jaw', heart problems  ",Finca,Poco frecuente,no,Centro,19199.0,326.0
80,Cairn Terrier,21.833432456339704,61.03240107232595,14.169602561569242,small,5.774520753412795,25.722801692127295,Above average,>70,"'lion jaw', heart problems  ",Apartamento mediano,Poco frecuente,yes,Tetuán,17026.0,1246.0
81,Cairn Terrier,21.28393859320378,62.631796104258,13.838730107965642,small,5.848632223238589,23.132214186181034,Above average,>85,"'lion jaw', heart problems  ",Apartamento pequeño,Muy frecuente,no,Tetuán,17026.0,1246.0
82,Cairn Terrier,20.887408815790394,60.327538630215976,13.927118919627492,small,5.761163781649765,25.388694969487823,Lowest,>70,"'lion jaw', heart problems  ",Jardín Amplio,Nada,yes,San Blas-Canillejas,15115.0,609.0
83,Cairn Terrier,21.991024454195564,57.08966244949536,13.91084535772823,small,6.043049912348531,24.315123715027546,Above average,>30,none,Apartamento pequeño,Poco frecuente,yes,Tetuán,17026.0,1246.0
84,Cairn Terrier,22.07192035522899,60.91424618456386,13.438977227450989,small,6.392379583145692,25.59077472972861,Above average,>70,"'lion jaw', heart problems  ",Apartamento pequeño,Nada,no,Chamberí,25275.0,826.0
85,Cairn Terrier,22.177524094109803,65.41058773183063,14.05622747794967,small,5.845873132535697,23.990845671168305,Excellent,>70,none,Apartamento mediano,Frecuente,no,Arganzuela,20103.0,1764.0
86,Cairn Terrier,20.64822737216236,59.637521827687394,14.813709398406038,large,6.309656724252886,26.01045295023428,Above average,>85,"'lion jaw', heart problems  ",Finca,Frecuente,yes,Ciudad Lineal,16890.0,614.0
87,Cairn Terrier,22.715225955539974,58.34125217375262,13.216572013797208,small,6.534981053706651,25.20785400993289,Above average,>70,"'lion jaw', heart problems  ",Apartamento pequeño,Muy frecuente,yes,Fuencarral-El Pardo,20671.0,1852.0
88,Cairn Terrier,22.08984332636449,61.44807850141568,14.07062945448668,small,6.059901247204939,25.392304188525223,Excellent,>85,"'lion jaw', heart problems  ",Apartamento pequeño,Poco frecuente,no,Fuencarral-El Pardo,20671.0,1852.0
89,Cairn Terrier,21.048330256708727,63.0533403828203,14.217484601496828,small,6.382311762916865,24.276203784287258,Above average,>70,"'lion jaw', heart problems  ",Apartamento mediano,Muy frecuente,no,Ciudad Lineal,16890.0,614.0
90,Cairn Terrier,22.330441068326756,64.9119123956039,13.847968743607643,large,5.648490047058241,25.40481864068979,Above average,>95,"'lion jaw', heart problems  ",Jardín Amplio,Muy frecuente,yes,Salamanca,25956.0,623.0
91,Cairn Terrier,22.20487871682097,61.017897918841484,13.258924617139236,small,6.067101555402083,23.882540484033758,Above average,>70,"'lion jaw', heart problems  ",Jardín Amplio,Nada,yes,Ciudad Lineal,16890.0,614.0
92,Cairn Terrier,21.901822012079837,60.350525362073476,14.071076485278697,small,5.875016796078622,23.67543025077977,Above average,>70,"'lion jaw', heart problems  ",Apartamento pequeño,Nada,yes,Tetuán,17026.0,1246.0
93,Cairn Terrier,21.679478202970465,61.88512945779283,13.783519351343582,small,5.78438272933674,26.45845930860422,Above average,>50,none,Apartamento pequeño,Nada,no,Fuencarral-El Pardo,20671.0,1852.0
94,Cairn Terrier,21.644516186748007,61.51220775679732,14.159327745469488,small,5.829928215002128,24.48542507146854,Above average,>70,"'lion jaw', heart problems  ",Apartamento pequeño,Poco frecuente,yes,Arganzuela,20103.0,1764.0
95,Cairn Terrier,21.99757315482385,61.634763023519035,13.809485724094037,small,6.028208562182964,23.846286930935122,Above average,>70,"'lion jaw', heart problems  ",Apartamento pequeño,Nada,no,Ciudad Lineal,16890.0,614.0
96,Cairn Terrier,22.54164417115424,60.70217693452918,13.525999616651877,small,6.392446446948279,23.34122087349816,Above average,<30,"'lion jaw', heart problems  ",Apartamento mediano,Poco frecuente,no,Arganzuela,20103.0,1764.0
97,Cairn Terrier,22.40663837267203,61.27253915713234,13.772394653912528,small,5.804651474818269,24.16489545953984,Above average,>70,"'lion jaw', heart problems  ",Apartamento mediano,Poco frecuente,no,Arganzuela,20103.0,1764.0
98,Cairn Terrier,21.802855974464702,57.84289295071125,14.823550145304672,small,5.820267837531675,26.968817828499347,Fair,>70,none,Apartamento mediano,Nada,no,Centro,19199.0,326.0
99,Cairn Terrier,21.742643696103833,60.04495809453053,14.472236988671122,small,6.528004433081861,26.356707154224228,Above average,>70,"'lion jaw', heart problems  ",Apartamento pequeño,Nada,no,Tetuán,17026.0,1246.0
100,English Cocker Spaniel,18.790621253321614,80.44857447684346,11.828466022986865,medium,13.867410973920503,41.33304236063056,Excellent,<30,none,Apartamento pequeño,Poco frecuente,yes,Fuencarral-El Pardo,20671.0,1852.0
101,English Cocker Spaniel,20.243109711561107,81.33990907147927,12.744161409532524,medium,13.915552541044528,42.330312237170034,Excellent,>70,none,Apartamento mediano,Poco frecuente,no,San Blas-Canillejas,15115.0,609.0
102,English Cocker Spaniel,18.95744208159591,81.12822883756589,11.761990787921928,medium,15.770221318048625,41.59833329045896,Average,>85,none,Jardín Amplio,Poco frecuente,no,San Blas-Canillejas,15115.0,609.0
103,English Cocker Spaniel,19.40259444280958,80.47413491315393,11.368499806317413,medium,13.882430213015123,39.31189862109584,Excellent,>85,none,Apartamento mediano,Frecuente,no,Arganzuela,20103.0,1764.0
104,English Cocker Spaniel,19.408089817494673,82.65866832426715,12.090188094878101,medium,13.793656254462652,44.58580585389072,Excellent,>50,none,Apartamento mediano,Poco frecuente,no,San Blas-Canillejas,15115.0,609.0
105,English Cocker Spaniel,18.77527678449199,86.01581790188642,10.942165559645344,medium,14.345151092922915,41.56029106103738,Above average,>50,none,Finca,Poco frecuente,yes,San Blas-Canillejas,15115.0,609.0
106,English Cocker Spaniel,19.41708689895194,78.50857802129546,11.700225487403522,medium,13.611945847392747,39.13108480648797,Fair,<30,none,Finca,Frecuente,no,San Blas-Canillejas,15115.0,609.0
107,English Cocker Spaniel,18.32913597553849,84.03503677256552,11.925693461200206,large,15.037713810264634,39.95336389751207,Above average,>85,none,Apartamento mediano,Muy frecuente,no,Ciudad Lineal,16890.0,614.0
108,English Cocker Spaniel,19.885614350629876,80.8841446618448,11.727705095937916,medium,14.832345968906202,39.873901875262966,Excellent,>85,none,Apartamento mediano,Frecuente,no,Ciudad Lineal,16890.0,614.0
109,English Cocker Spaniel,19.219399060097,80.50524254040228,11.45869160471277,medium,13.649529461609546,36.168668800959615,Excellent,>95,none,Apartamento mediano,Nada,yes,San Blas-Canillejas,15115.0,609.0
110,English Cocker Spaniel,19.656217980609764,83.41541903693182,11.959178210528373,medium,14.078493196012342,40.828969391845895,Excellent,>85,none,Apartamento mediano,Muy frecuente,no,Arganzuela,20103.0,1764.0
111,English Cocker Spaniel,18.876032136506286,76.9920698108689,11.441780096272097,medium,12.981088889730877,43.636223232949035,Lowest,>85,none,Apartamento mediano,Poco frecuente,yes,Centro,19199.0,326.0
112,English Cocker Spaniel,18.48795435846635,78.32334491269816,11.902382867357579,medium,12.966953002664381,36.051819484576995,Excellent,>50,none,Apartamento pequeño,Poco frecuente,no,Villa de Vallecas,13605.0,1140.0
113,English Cocker Spaniel,19.55610540551478,79.99151415511359,11.887509317931322,large,14.193259357124415,47.0624255524244,Excellent,>30,none,Apartamento mediano,Frecuente,no,Ciudad Lineal,16890.0,614.0
114,English Cocker Spaniel,19.09981711618583,82.24395974753348,11.603364149915478,large,13.134801254658198,41.43392972927973,Excellent,>85,none,Finca,Nada,no,Ciudad Lineal,16890.0,614.0
115,English Cocker Spaniel,18.851980240015852,79.55900584405978,11.329682086018655,medium,14.636672296267523,39.77859697018799,Excellent,>50,none,Jardín Amplio,Frecuente,no,Tetuán,17026.0,1246.0
116,English Cocker Spaniel,19.822726186276654,78.54282945025196,12.119602948908835,medium,14.68532474448915,40.55818381663073,Excellent,>70,none,Finca,Muy frecuente,no,Fuencarral-El Pardo,20671.0,1852.0
117,English Cocker Spaniel,19.832340918897398,83.76880055534131,11.904879181814321,medium,13.989492119950302,41.50815474063655,Brightest,>85,none,Jardín Amplio,Muy frecuente,no,Centro,19199.0,326.0
118,English Cocker Spaniel,19.52682174642465,84.10201924623473,12.10646869426687,medium,13.64482531700111,44.25604211478024,Excellent,>95,none,Apartamento mediano,Frecuente,no,Tetuán,17026.0,1246.0
119,English Cocker Spaniel,19.603050852539084,84.27443385591383,11.777185130130377,medium,14.752696857903063,39.91584390825212,Fair,>85,none,Jardín Amplio,Muy frecuente,no,Fuencarral-El Pardo,20671.0,1852.0
120,English Cocker Spaniel,16.929758854840234,80.81016875036262,12.369589161011117,medium,13.697213703634427,42.09025186234455,Excellent,>95,none,Apartamento mediano,Frecuente,no,Ciudad Lineal,16890.0,614.0
121,English Cocker Spaniel,18.817527860495183,80.17375729245053,12.013059942094438,medium,13.624324670705128,43.50145029672503,Brightest,<30,none,Apartamento pequeño,Poco frecuente,no,Arganzuela,20103.0,1764.0
122,English Cocker Spaniel,18.44569686017336,80.12843118902705,11.862979179844066,medium,15.382075071211798,38.873575649478305,Excellent,>30,none,Apartamento mediano,Nada,yes,San Blas-Canillejas,15115.0,609.0
123,English Cocker Spaniel,19.08689645001498,83.9840053220014,12.233045087881534,medium,13.12861477712022,39.64672278464932,Excellent,<30,none,Apartamento mediano,Poco frecuente,no,San Blas-Canillejas,15115.0,609.0
124,English Cocker Spaniel,18.809660868147844,79.957093778824,11.832275819801554,medium,13.46505445660242,43.82833312680139,Excellent,>85,none,Apartamento mediano,Poco frecuente,yes,Ciudad Lineal,16890.0,614.0
125,English Cocker Spaniel,19.2412015140183,85.08909326607629,11.549932295844783,medium,14.47530483615858,42.71646535994499,Excellent,>85,none,Jardín Amplio,Nada,no,Tetuán,17026.0,1246.0
126,English Cocker Spaniel,19.035329079619284,82.04851405514702,10.749227107773438,medium,14.668429769104769,41.7775385470542,Brightest,>70,none,Jardín Amplio,Poco frecuente,yes,Fuencarral-El Pardo,20671.0,1852.0
127,English Cocker Spaniel,18.706557138368947,80.05749802205578,11.35915580241147,medium,14.693273193524664,43.285869106667384,Excellent,>95,none,Apartamento mediano,Nada,no,Tetuán,17026.0,1246.0
128,English Cocker Spaniel,19.305904912064253,80.40780999476502,11.317029630595846,medium,13.018349708058793,43.76603261420631,Lowest,>95,none,Jardín Amplio,Poco frecuente,no,Fuencarral-El Pardo,20671.0,1852.0
129,English Cocker Spaniel,18.35456002837288,80.44340048700622,11.860933376730207,medium,13.71228236406459,43.354753380057716,Excellent,<30,none,Apartamento mediano,Poco frecuente,no,Arganzuela,20103.0,1764.0
130,English Cocker Spaniel,20.098474137263757,82.88033153060567,11.687528343070658,medium,13.788124787396061,45.34897975621566,Excellent,>85,none,Apartamento mediano,Muy frecuente,yes,Ciudad Lineal,16890.0,614.0
131,English Cocker Spaniel,19.0651713506504,78.33281155150328,11.667275699679982,large,13.216338249719868,38.680566781829555,Excellent,>85,none,Finca,Frecuente,no,San Blas-Canillejas,15115.0,609.0
132,English Cocker Spaniel,19.043733173596916,80.53161744404967,11.112431119714762,medium,12.718923600141544,39.286522986133456,Excellent,>95,none,Apartamento mediano,Muy frecuente,no,San Blas-Canillejas,15115.0,609.0
133,English Cocker Spaniel,19.02235403232644,83.75404211155062,11.987458353335455,small,13.133639764822162,40.44297857323637,Average,>85,none,Apartamento mediano,Nada,no,Arganzuela,20103.0,1764.0
134,English Cocker Spaniel,19.073604555034635,85.51811601108037,11.94482978838911,medium,13.961158311889033,41.36668814167904,Above average,>70,none,Jardín Amplio,Poco frecuente,no,Centro,19199.0,326.0
