Raza,Altura (cm),Peso (kg),Inteligencia (%),Coste total (€),Vida promedio (años),Nº Enfermedades graves,Coste anual promedio (€),Hogar,Trucos,Actividad física del dueño,Distrito
Beagle,36.4,12.2,9.0,14515,12.31,2,1178,Apartamento pequeño,Sí,Muy frecuente,Vicálvaro
Beagle,36.1,11.7,9.0,14495,12.33,1,1181,Jardín Amplio,No,Poco frecuente,Latina
Beagle,36.6,12.8,9.0,14530,12.28,2,1174,Apartamento mediano,No,Nada,Puente de Vallecas
Beagle,36.3,12.4,9.0,14507,12.3,1,1179,Finca,No,Nada,Barajas
Beagle,35.8,12.9,9.0,14483,12.34,2,1183,Jardín Amplio,No,Muy frecuente,Latina
Beagle,36.9,11.5,9.0,14540,12.27,1,1173,Apartamento pequeño,No,Frecuente,Centro
Beagle,36.7,12.6,9.0,14525,12.29,2,1176,Jardín Amplio,No,Poco frecuente,Retiro
Setter Inglés,62.0,43.0,56.0,15177,11.57,2,1311,Jardín Amplio,No,Nada,Retiro
Setter Inglés,61.5,43.5,56.0,15188,11.56,3,1307,Apartamento mediano,Sí,Frecuente,Fuencarral-El Pardo
Setter Inglés,62.2,42.8,56.0,15168,11.59,2,1312,Jardín Amplio,No,Poco frecuente,Chamartín
Setter Inglés,62.4,43.2,56.0,15183,11.58,3,1310,Apartamento pequeño,Sí,Muy frecuente,Moncloa-Aravaca
Setter Inglés,62.1,42.7,56.0,15163,11.6,2,1313,Jardín Amplio,No,Nada,Carabanchel
Setter Inglés,62.6,43.8,56.0,15198,11.55,3,1306,Apartamento mediano,No,Poco frecuente,Tetuán
Setter Inglés,62.3,43.4,56.0,15175,11.57,2,1311,Finca,No,Nada,Barajas
Setter Inglés,61.8,43.9,56.0,15150,11.61,3,1315,Jardín Amplio,No,Muy frecuente,San Blas-Canillejas
Setter Inglés,62.9,42.5,56.0,15205,11.54,2,1305,Apartamento pequeño,No,Frecuente,Salamanca
Setter Inglés,62.7,43.6,56.0,15190,11.56,3,1308,Jardín Amplio,Sí,Poco frecuente,Salamanca
Doberman Pinscher,66.0,34.0,95.0,13776,10.33,4,1333,Jardín Amplio,Sí,Nada,Arganzuela
Doberman Pinscher,65.5,34.5,95.0,13788,10.32,5,1329,Apartamento mediano,No,Frecuente,Villaverde
Doberman Pinscher,66.2,33.8,95.0,13768,10.35,4,1334,Jardín Amplio,Sí,Poco frecuente,Chamberí
Doberman Pinscher,66.4,34.2,95.0,13783,10.34,5,1332,Apartamento pequeño,No,Muy frecuente,Ciudad Lineal
Doberman Pinscher,66.1,33.7,95.0,13763,10.36,4,1335,Jardín Amplio,Sí,Nada,Ciudad Lineal
Doberman Pinscher,66.6,34.8,95.0,13798,10.31,5,1328,Apartamento mediano,Sí,Poco frecuente,Latina
Doberman Pinscher,66.3,34.4,95.0,13775,10.33,4,1333,Finca,No,Nada,San Blas-Canillejas
Doberman Pinscher,65.8,34.9,95.0,13750,10.37,5,1337,Jardín Amplio,No,Muy frecuente,Puente de Vallecas
Doberman Pinscher,66.9,33.5,95.0,13805,10.3,4,1327,Apartamento pequeño,Sí,Frecuente,Puente de Vallecas
Doberman Pinscher,66.7,34.6,95.0,13790,10.32,5,1330,Jardín Amplio,Sí,Poco frecuente,Carabanchel
Cavalier King Charles Spaniel,32.0,7.0,48.0,13984,11.29,2,1238,Apartamento pequeño,No,Nada,Latina
Cavalier King Charles Spaniel,31.5,7.5,48.0,13995,11.28,3,1234,Jardín Amplio,No,Frecuente,Tetuán
Cavalier King Charles Spaniel,32.2,6.8,48.0,13975,11.31,2,1239,Apartamento pequeño,Sí,Poco frecuente,Latina
Cavalier King Charles Spaniel,32.4,7.2,48.0,13990,11.3,3,1237,Jardín Amplio,No,Muy frecuente,Chamartín
Cavalier King Charles Spaniel,32.1,6.7,48.0,13970,11.32,2,1240,Apartamento mediano,Sí,Poco frecuente,Moncloa-Aravaca
Cavalier King Charles Spaniel,32.6,7.8,48.0,14005,11.27,3,1233,Jardín Amplio,Sí,Nada,Hortaleza
Cavalier King Charles Spaniel,32.3,7.4,48.0,13982,11.29,2,1238,Finca,No,Nada,Usera
Cavalier King Charles Spaniel,31.8,7.9,48.0,13957,11.33,3,1242,Jardín Amplio,No,Muy frecuente,Arganzuela
Cavalier King Charles Spaniel,32.9,6.5,48.0,14012,11.26,2,1232,Apartamento pequeño,No,Frecuente,Tetuán
Cavalier King Charles Spaniel,32.7,7.6,48.0,13997,11.28,3,1235,Jardín Amplio,No,Poco frecuente,Salamanca
Rottweiler,62.0,45.0,91.0,14180,9.11,3,1556,Jardín Amplio,Sí,Nada,Fuencarral-El Pardo
Rottweiler,61.5,45.5,91.0,14192,9.1,4,1552,Apartamento mediano,No,Frecuente,Fuencarral-El Pardo
Rottweiler,62.2,44.8,91.0,14172,9.13,3,1557,Jardín Amplio,Sí,Poco frecuente,Centro
Rottweiler,62.4,45.2,91.0,14187,9.12,4,1555,Apartamento pequeño,No,Muy frecuente,Ciudad Lineal
Rottweiler,62.1,44.7,91.0,14167,9.14,3,1558,Jardín Amplio,Sí,Nada,Puente de Vallecas
Rottweiler,62.6,45.8,91.0,14202,9.09,4,1551,Apartamento mediano,Sí,Poco frecuente,Barajas
Rottweiler,62.3,45.4,91.0,14179,9.11,3,1556,Finca,No,Nada,Arganzuela
Rottweiler,61.8,45.9,91.0,14154,9.15,4,1560,Jardín Amplio,Sí,Muy frecuente,Chamartín
Rottweiler,62.9,44.5,91.0,14209,9.08,3,1550,Apartamento pequeño,No,Frecuente,Chamberí
Rottweiler,62.7,45.6,91.0,14194,9.1,4,1553,Jardín Amplio,Sí,Poco frecuente,Carabanchel
Pastor Alemán,61.0,31.0,98.0,13052,9.73,8,1341,Jardín Amplio,Sí,Nada,Usera
Pastor Alemán,60.5,31.5,98.0,13063,9.72,9,1337,Apartamento mediano,No,Frecuente,Chamberí
Pastor Alemán,61.2,30.8,98.0,13043,9.75,8,1342,Jardín Amplio,Sí,Poco frecuente,Chamberí
Pastor Alemán,61.4,31.2,98.0,13058,9.74,9,1340,Apartamento pequeño,No,Muy frecuente,Moncloa-Aravaca
Pastor Alemán,61.1,30.7,98.0,13038,9.76,8,1343,Jardín Amplio,Sí,Nada,Fuencarral-El Pardo
Pastor Alemán,61.6,31.8,98.0,13073,9.71,9,1336,Apartamento mediano,Sí,Poco frecuente,Chamartín
Pastor Alemán,61.3,31.4,98.0,13050,9.73,8,1341,Finca,No,Nada,Hortaleza
Pastor Alemán,60.8,31.9,98.0,13025,9.77,9,1345,Jardín Amplio,Sí,Muy frecuente,Retiro
Pastor Alemán,61.9,30.5,98.0,13080,9.7,8,1335,Apartamento pequeño,No,Frecuente,Arganzuela
Pastor Alemán,61.7,31.6,98.0,13065,9.72,9,1338,Jardín Amplio,Sí,Poco frecuente,Puente de Vallecas
Bulldog Francés,30.0,12.0,28.0,13073,9.0,0,1452,Apartamento pequeño,No,Nada,Carabanchel
Bulldog Francés,29.5,12.5,28.0,13084,8.99,1,1448,Jardín Amplio,No,Frecuente,Fuencarral-El Pardo
Bulldog Francés,30.2,11.8,28.0,13064,9.02,0,1453,Apartamento pequeño,No,Poco frecuente,Moratalaz
Bulldog Francés,30.4,12.2,28.0,13079,9.01,1,1451,Jardín Amplio,No,Muy frecuente,Tetuán
Bulldog Francés,30.1,11.7,28.0,13059,9.03,0,1454,Apartamento mediano,No,Nada,Tetuán
Bulldog Francés,30.6,12.8,28.0,13094,8.98,1,1447,Jardín Amplio,No,Poco frecuente,Puente de Vallecas
Bulldog Francés,30.3,12.4,28.0,13071,9.0,0,1452,Finca,No,Nada,Chamberí
Bulldog Francés,29.8,12.9,28.0,13046,9.04,1,1456,Jardín Amplio,No,Muy frecuente,Fuencarral-El Pardo
Bulldog Francés,30.9,11.5,28.0,13099,8.97,0,1446,Apartamento pequeño,No,Frecuente,Centro
Bulldog Francés,30.7,12.6,28.0,13084,8.99,1,1449,Jardín Amplio,No,Poco frecuente,San Blas-Canillejas
Gran Danés,76.0,54.0,39.0,11035,6.96,4,1585,Jardín Amplio,No,Nada,Ciudad Lineal
Gran Danés,75.5,54.5,39.0,11046,6.95,5,1581,Apartamento mediano,No,Frecuente,Carabanchel
Gran Danés,76.2,53.8,39.0,11026,6.98,4,1586,Jardín Amplio,No,Poco frecuente,Moncloa-Aravaca
Gran Danés,76.4,54.2,39.0,11041,6.97,5,1584,Apartamento pequeño,No,Muy frecuente,Villa de Vallecas
Gran Danés,76.1,53.7,39.0,11021,6.99,4,1587,Jardín Amplio,No,Nada,Carabanchel
Gran Danés,76.6,54.8,39.0,11056,6.94,5,1580,Apartamento mediano,Sí,Poco frecuente,Chamartín
Gran Danés,76.3,54.4,39.0,11033,6.96,4,1585,Finca,No,Nada,Usera
Gran Danés,75.8,54.9,39.0,11008,7.0,5,1589,Jardín Amplio,Sí,Muy frecuente,Ciudad Lineal
Gran Danés,76.9,53.5,39.0,11063,6.93,4,1579,Apartamento pequeño,No,Frecuente,Salamanca
Gran Danés,76.7,54.6,39.0,11048,6.95,5,1582,Jardín Amplio,No,Poco frecuente,Villaverde
Bulldog,36.0,20.0,3.0,10358,6.29,5,1646,Jardín Amplio,No,Nada,Puente de Vallecas
Bulldog,35.5,20.5,3.0,10369,6.28,6,1642,Apartamento mediano,No,Frecuente,Carabanchel
Bulldog,36.2,19.8,3.0,10349,6.31,5,1647,Jardín Amplio,No,Poco frecuente,Fuencarral-El Pardo
Bulldog,36.4,20.2,3.0,10364,6.3,6,1645,Apartamento pequeño,No,Muy frecuente,Fuencarral-El Pardo
Bulldog,36.1,19.7,3.0,10344,6.32,5,1648,Jardín Amplio,No,Nada,Villaverde
Bulldog,36.6,20.8,3.0,10379,6.27,6,1641,Apartamento mediano,No,Poco frecuente,Ciudad Lineal
Bulldog,36.3,20.4,3.0,10356,6.29,5,1646,Finca,Sí,Nada,Carabanchel
Bulldog,35.8,20.9,3.0,10331,6.33,6,1650,Jardín Amplio,No,Muy frecuente,San Blas-Canillejas
Bulldog,36.9,19.5,3.0,10386,6.26,5,1640,Apartamento pequeño,No,Frecuente,Fuencarral-El Pardo
Bulldog,36.7,20.6,3.0,10371,6.28,6,1643,Jardín Amplio,No,Poco frecuente,Villaverde
Border Collie,51.0,17.0,100.0,16186,12.52,2,1293,Jardín Amplio,Sí,Nada,Arganzuela
Border Collie,50.5,17.5,99.0,16197,12.51,3,1289,Apartamento mediano,No,Frecuente,Hortaleza
Border Collie,51.2,16.8,100.0,16177,12.54,2,1294,Jardín Amplio,Sí,Poco frecuente,Centro
Border Collie,51.4,17.2,99.0,16192,12.53,3,1292,Apartamento pequeño,No,Muy frecuente,San Blas-Canillejas
Border Collie,51.1,16.7,100.0,16172,12.55,2,1295,Jardín Amplio,Sí,Nada,Barajas
Border Collie,51.6,17.8,99.0,16207,12.5,3,1288,Apartamento mediano,No,Poco frecuente,Villaverde
Border Collie,51.3,17.4,100.0,16184,12.52,2,1293,Finca,Sí,Nada,Hortaleza
Border Collie,50.8,17.9,99.0,16159,12.56,3,1297,Jardín Amplio,No,Muy frecuente,Puente de Vallecas
Border Collie,51.9,16.5,100.0,16214,12.49,2,1287,Apartamento pequeño,Sí,Frecuente,Ciudad Lineal
Border Collie,51.7,17.6,99.0,16199,12.51,3,1290,Jardín Amplio,No,Poco frecuente,Ciudad Lineal
Husky Siberiano,55.0,22.0,45.0,16470,12.58,0,1309,Jardín Amplio,No,Frecuente,San Blas-Canillejas
Husky Siberiano,54.5,22.5,45.0,16481,12.57,1,1305,Apartamento mediano,No,Poco frecuente,Hortaleza
Husky Siberiano,55.2,21.8,45.0,16461,12.6,0,1310,Jardín Amplio,No,Nada,Centro
Husky Siberiano,55.4,22.2,45.0,16476,12.59,1,1308,Apartamento pequeño,Sí,Muy frecuente,Salamanca
Husky Siberiano,55.1,21.7,45.0,16456,12.61,0,1311,Jardín Amplio,No,Frecuente,Villa de Vallecas
Husky Siberiano,55.6,22.8,45.0,16491,12.56,1,1304,Apartamento mediano,No,Poco frecuente,Moncloa-Aravaca
Husky Siberiano,55.3,22.4,45.0,16468,12.58,0,1309,Finca,No,Nada,Carabanchel
Husky Siberiano,54.8,22.9,45.0,16443,12.62,1,1313,Jardín Amplio,Sí,Muy frecuente,Centro
Husky Siberiano,55.9,21.5,45.0,16498,12.55,0,1303,Apartamento pequeño,No,Frecuente,Usera
Husky Siberiano,55.7,22.6,45.0,16483,12.57,1,1306,Jardín Amplio,No,Poco frecuente,Ciudad Lineal
Dachshund,24.0,11.0,37.0,15006,12.63,2,1188,Jardín Amplio,No,Nada,Moncloa-Aravaca
Dachshund,23.5,11.5,37.0,15017,12.62,3,1184,Apartamento mediano,No,Frecuente,Puente de Vallecas
Dachshund,24.2,10.8,37.0,14997,12.65,2,1189,Jardín Amplio,No,Poco frecuente,San Blas-Canillejas
Dachshund,24.4,11.2,37.0,15012,12.64,3,1187,Apartamento pequeño,No,Muy frecuente,Salamanca
Dachshund,24.1,10.7,37.0,14992,12.66,2,1190,Jardín Amplio,No,Nada,Latina
Dachshund,24.6,11.8,37.0,15027,12.61,3,1183,Apartamento mediano,No,Poco frecuente,Hortaleza
Dachshund,24.3,11.4,37.0,15004,12.63,2,1188,Finca,Sí,Nada,Latina
Dachshund,23.8,11.9,37.0,14979,12.67,3,1192,Jardín Amplio,No,Muy frecuente,Villa de Vallecas
Dachshund,24.9,10.5,37.0,15034,12.6,2,1182,Apartamento pequeño,Sí,Frecuente,Fuencarral-El Pardo
Dachshund,24.7,11.6,37.0,15019,12.62,3,1185,Jardín Amplio,No,Poco frecuente,Villaverde
Schnauzer Miniatura,33.0,7.0,87.0,14489,11.81,2,1226,Apartamento mediano,Sí,Muy frecuente,Usera
Schnauzer Miniatura,32.5,7.5,87.0,14500,11.8,3,1222,Jardín Amplio,No,Poco frecuente,Moratalaz
Schnauzer Miniatura,33.2,6.8,87.0,14480,11.83,2,1227,Apartamento pequeño,Sí,Nada,Retiro
Schnauzer Miniatura,33.4,7.2,87.0,14495,11.82,3,1225,Jardín Amplio,No,Frecuente,Arganzuela
Schnauzer Miniatura,33.1,6.7,87.0,14470,11.84,2,1228,Apartamento mediano,Sí,Poco frecuente,Chamberí
Schnauzer Miniatura,33.6,7.8,87.0,14505,11.79,3,1221,Jardín Amplio,No,Nada,Centro
Schnauzer Miniatura,33.3,7.4,87.0,14482,11.81,2,1226,Finca,Sí,Muy frecuente,Hortaleza
Schnauzer Miniatura,32.8,7.9,87.0,14457,11.85,3,1230,Apartamento pequeño,No,Frecuente,Ciudad Lineal
Schnauzer Miniatura,33.9,6.5,87.0,14512,11.78,2,1220,Jardín Amplio,Sí,Poco frecuente,Fuencarral-El Pardo
Schnauzer Miniatura,33.7,7.6,87.0,14497,11.8,3,1223,Apartamento mediano,No,Nada,Usera
